구|URL_ID|카페명|평점|리뷰개수|주소|영업시간|전화번호|홈페이지주소|태그|메뉴|대표사진주소|
중랑구|24576625|파크더블유|2.8|13건|서울 중랑구 양원역로16길 103-111|영업시간&매일 11:00 ~ 22:00|02-432-5659|www.facebook.com/SeoulParkW|#카페 #분위기좋은 #브런치카페|메뉴 이름: 에스프레소 (HOT) 가격: 4,000&메뉴 이름: 아메리카노 가격: 5,000&메뉴 이름: 카푸치노 (HOT) 가격: 5,500&메뉴 이름: 카페라떼 가격: 5,500&메뉴 이름: 아인슈페너 (ICE) 가격: 6,500|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD93AE1602E8746D699E5F3EFFBA02359
중랑구|2145979742|커피스터프|3.9|16건|서울 중랑구 망우로42길 10|영업시간&화~일 08:00 ~ 22:00&휴무일&월요일||www.facebook.com/cafecoffeestuff|#카페 #제로페이|메뉴 이름: 카페라떼 가격: 4,500&메뉴 이름: 잉글리쉬 블렉퍼스트 가격: 4,000&메뉴 이름: 크림 그린티라떼 가격: 4,800&메뉴 이름: 요거드스무디 가격: 5,800&메뉴 이름: 아메리카노 가격: 3,800|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA76499A37AC4454588AEF8851F0F9C9D
중랑구|1848099630|개인공간|4.5|20건|서울 중랑구 송림길 12 1층|영업시간&화~토 12:00 ~ 22:00&일 12:00 ~ 20:00&휴무일&월요일|070-7718-0087|www.instagram.com/gaeingonggan|#카페 #감성카페 #애견동반식당 #제로페이|메뉴 이름: 아메리카노 가격: 3,500&메뉴 이름: 카페라떼 가격: 4,000&메뉴 이름: 카페모카 가격: 4,700&메뉴 이름: 콜드브루 가격: 4,000&메뉴 이름: 디어준 (크림라떼) 가격: 4,800|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5BB3EAD07FFC402E9AA5DDBB19336B67
중랑구|19756111|라떼플로라|3.7|9건|서울 중랑구 동일로156길 7 103호|영업시간&월~토 08:00 ~ 23:00&일 10:00 ~ 23:00|02-432-9503|www.lflora.co.kr|#테마카페 #데이트코스 #플라워카페 #제로페이|메뉴 이름: 아메리카노 가격: 3,400&메뉴 이름: 카페라떼 가격: 3,800&메뉴 이름: 더치커피 가격: 3,800&메뉴 이름: 카라멜마끼아또 가격: 4,500&메뉴 이름: 레몬 아이스티 (ICE) 가격: 3,500|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F94C5BCA835BB4070A5E994DC0A42E56F
중랑구|1536161428|다시사랑받개|4.0|8건|서울 중랑구 용마산로139나길 83|영업시간&월,화,목,금,토,일 12:30 ~ 22:00&휴무일&수요일|02-6958-6224|instagram.com/saac.karma|#카페 #이색카페 #카카오페이 #제로페이||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F562AA6CD0E3440DF9065BF9A79DBED18
중랑구|26932883|카페브릭|3.9|12건|서울 중랑구 신내역로1길 127-11|영업시간&매일 09:00 ~ 23:00||blog.naver.com/sinnaebrick|#카페 #루프탑있는 #분위기좋은 #제로페이|메뉴 이름: 아메리카노 가격: 4,300&메뉴 이름: 카페라떼 가격: 4,800&메뉴 이름: 아인슈페너 가격: 5,300&메뉴 이름: 돌체 라떼 가격: 5,200&메뉴 이름: 자몽티 가격: 6,000|
중랑구|358842854|카페소고 망우점|4.3|6건|서울 중랑구 신내로1길 15|영업시간&매일 12:00 ~ 22:00&휴무일&둘째,넷째 수요일|02-6014-6912|www.instagram.com/sogo___mw|#카페 #감성카페|메뉴 이름: 아메리카노 가격: 4,500&메뉴 이름: 카페라떼 가격: 5,000&메뉴 이름: 초코라떼 가격: 5,000&메뉴 이름: 청포도에이드 가격: 6,000&메뉴 이름: 얼그레이 가격: 4,500|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FBEF75F39B11F41BCA5C1C4906EBDD8D9
중랑구|181624929|디저트아카데미|4.6|10건|서울 중랑구 망우로36길 38 102호|영업시간&화~금 10:00 ~ 22:00&토,일 10:00 ~ 21:00|02-433-6096|blog.naver.com/dessertacademy|#디저트카페 #디저트카페 #제로페이|메뉴 이름: 아메리카노(HOT) 가격: 2,500&메뉴 이름: 카페라떼(HOT) 가격: 3,000&메뉴 이름: 카페모카(HOT) 가격: 4,000&메뉴 이름: 초콜릿(HOT) 가격: 4,500&메뉴 이름: 그린티라떼(HOT) 가격: 4,500|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAA3FFD48EEC044B982F54EF67CED737F
중랑구|2018654232|장수부띠끄|4.0|6건|서울 중랑구 사가정로43길 41|영업시간&매일 11:00 ~ 20:30|02-435-3758|www.instagram.com/jangsuboutique|#커피전문점 #감성카페 #분위기좋은 #카카오페이 #제로페이|메뉴 이름: 딸기우유 가격: 6,000&메뉴 이름: 장수밀크티 가격: 6,000&메뉴 이름: 단호박우유 가격: 6,000&메뉴 이름: 아메리카노 가격: 3,700&메뉴 이름: 장수라떼 가격: 4,600|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA50AA1ED6D584E7AA033722906871C7F
중랑구|17884784|스타벅스 상봉역점|4.2|13건|서울 중랑구 망우로 307|영업시간&월~수 07:00 ~ 21:00&토,일 08:00 ~ 21:00&목 07:00 ~ 20:00&금 07:00 ~ 19:00|1522-3232|www.starbucks.co.kr|#커피전문점 |메뉴 이름: 아이스 슈크림 라떼 가격: 6,100&메뉴 이름: 슈크림 라떼 가격: 6,100&메뉴 이름: 아이스 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 파인 코코 그린 요거트 블렌디드 가격: 6,500&메뉴 이름: 핑크 매그놀리아 레모네이드 가격: 6,100&메뉴 이름: 오늘의 커피 가격: 4,200&메뉴 이름: 카푸치노 가격: 5,000&메뉴 이름: 카페 라떼 가격: 5,000&메뉴 이름: 카페 모카 가격: 5,500&메뉴 이름: 카페 아메리카노 가격: 4,500&메뉴 이름: 카라멜 마키아또 가격: 5,900&메뉴 이름: 화이트 초콜릿 모카 가격: 5,900&메뉴 이름: 스타벅스 돌체 라떼 가격: 5,900&메뉴 이름: 자바 칩 프라푸치노 가격: 6,300&메뉴 이름: 망고 바나나 블렌디드 가격: 6,300&메뉴 이름: 아이스 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 자몽 허니 블랙 티 가격: 5,700&메뉴 이름: 콜드 브루 가격: 4,900&메뉴 이름: 디카페인 카페 아메리카노 가격: 4,800&메뉴 이름: 디카페인 카페 라떼 가격: 5,300&메뉴 이름: 제주 유기농 말차로 만든 라떼 가격: 6,100&메뉴 이름: 돌체 콜드 브루 가격: 6,000|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F270C894E55E006C424
중랑구|2062868872|미니특공대테마파크 면목역점|4.8|5건|서울 중랑구 겸재로 164|영업시간&매일 10:30 ~ 20:00&공휴일&10:30 ~ 20:00|070-7788-5656||#키즈카페 #데이트코스 #제로페이||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F67DBF18F2FDD4A8C92A9160DF3F338BF
