구|URL_ID|카페명|평점|리뷰개수|주소|영업시간|전화번호|홈페이지주소|태그|메뉴|대표사진주소|
양천구|203376580|카페제하|4.3|22건|서울 양천구 목동동로 177 삼성쉐르빌2차 1층|영업시간&매일 10:00 ~ 21:00||www.instagram.com/cafe_j.ha|#카페 #감성카페 #데이트코스 #분위기좋은 #제로페이||
양천구|300323196|커피별녹색잔|4.5|24건|서울 양천구 목동로21길 26|영업시간&화~일 09:00 ~ 23:00&휴무일&월요일|02-2696-3337||#커피전문점 #로스팅전문 #북카페 #핸드드립전문점 #제로페이||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F19313C54EAA84B70B9C66FEF7D248714
양천구|333169963|더브라운 목동점|3.1|18건|서울 양천구 오목로 354 목동센트럴푸르지오 101동 101호|영업시간&매일 08:00 ~ 22:00|02-2642-2646||#디저트카페 #안심식당 #브런치카페 #제로페이||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FAB6B9999E95C4A91965DB4735A525A98
양천구|26900383|스타벅스 신월ICDT점|3.6|17건|서울 양천구 남부순환로 430|영업시간&월~금 07:00 ~ 22:00&토,일 07:30 ~ 22:00&이용시 주의 사항&2022-03-14 Drive Thru 운영시간 07:00 ~ 22:00|1522-3232|www.starbucks.co.kr|#커피전문점 #카카오페이||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F78F8068C9F844E4E9878CFC3835F6DB5
양천구|1737262840|스타벅스 신정DT점|2.8|15건|서울 양천구 신월로 341|영업시간&매일 07:00 ~ 22:00&이용시 주의 사항&2022-03-14 Drive Thru 운영시간 07:00 ~ 22:00|1522-3232|www.starbucks.co.kr|#커피전문점 #카카오페이||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE212B4D74A414B25B2E06B72D7DC6959
양천구|27178625|패닉이스케이프 목동지점|1.9|9건|서울 양천구 신정중앙로 96 4층|관련 홈페이지&www.facebook.com/thepanicescape&www.instagram.com/panic_escape/|02-6408-5044|www.panicescape.com/main|#테마카페 #데이트코스 #방탈출카페 #보드게임카페||
양천구|480014306|하니앤손스|4.8|28건|서울 양천구 신목로2길 68 오목빌딩 1층 107호|영업시간&화~일 11:00 ~ 21:00&휴무일&월요일|02-2651-8989|www.instagram.com/harneykorea|#카페 ||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_65736418
양천구|853330963|헬로방방 목동점|5.0|2건|서울 양천구 신월로 387 유앤미법조빌딩 지하1층|영업시간&매일 10:00 ~ 20:00|02-2696-8034|www.hellobang.co.kr|#키즈카페 ||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE41B44B5DEAF4C90B1B83E30AD6900BA
양천구|26909836|스타벅스 오목교역점|4.0|18건|서울 양천구 오목로 354|영업시간&매일 07:00 ~ 21:00|1522-3232|www.starbucks.co.kr|#커피전문점 #카카오페이||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F32447DCCED054098A2ABB831CBE524DA
양천구|2105594814|카페꼬숩|4.8|20건|서울 양천구 신목로4길 1|영업시간&월~토 11:00 ~ 22:00&휴무일&일요일|02-2653-2249|www.instagram.com/cafe_ggosoop|#디저트카페 #와플카페||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0CD9B78643474EA994887A2531A38282
